Question,5a70d87e9cdd180001776440: pretest,5a70d87e9cdd180001776440: posttest,5a18820d9b760100013a8429: pretest,5a18820d9b760100013a8429: posttest
"With a similar contrast between a partly cloudy sky and a dark street, the cover of the recent rock CD _____ a famous surrealist painting from the early 1900s.",1.00 / 1,1.00 / 1,1.00 / 1,disenchants
"True or false: you can always smell, see, or taste harmful bacteria in food that can cause illness.",1.00 / 1,1.00 / 1,1.00 / 1,1.00 / 1
What is the diffusion of water through a semipermeable membrane down its concentration gradient?,1.00 / 1,,1.00 / 1,
True or false: portable fire extinguishers should only be used by trained employees.,1.00 / 1,1.00 / 1,False,False
"Now known as Administrative Professionals' Day, Secretaries' Day was created in 1952 by Harry F. Klemfuss, a public relations professional who _____ the value and significance of administrative assistants in order to attract more women to the profession.",1.00 / 1,,1.00 / 1,
How does a neon light produce visible light?,1.00 / 1,,1.00 / 1,
True or false: the primary function of a fire door is to exit a building in case of fire.,1.00 / 1,1.00 / 1,True,True
"Even though legislators claimed the Contagious Diseases Acts strengthened the nation, social purists argued the Acts _____ the nation's moral growth by encouraging licentious behavior.",1.00 / 1,,I don't know.,
To what does the acronym SLM refer?,I don't know.,I don't know.,I don't know.,I don't know.
"What is a therian mammal in which the embryo is born at an early, immature stage?",1.00 / 1,,1.00 / 1,
What kind of viscosity is found in long-chain hydrocarbons?,1.00 / 1,,I don't know.,
What is a symptom of a heatstroke?,1.00 / 1,1.00 / 1,1.00 / 1,1.00 / 1
The defense attorney's _____ closing statement was not enough to sway the jurors in his client's favor; stirring words could not conceal the defendant's evident guilt.,1.00 / 1,,deceptive,
"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",1.00 / 1,1.00 / 1,adversaries,benefactors
The electrode at which oxidation occurs is called the what?,1.00 / 1,,I don't know.,
"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",solvent,solvent,prosperous,I don't know.
The hint shows a list of fire extinguisher types matched with surfaces on which they can be used. Which is the incorrect option?,Class K - Cooking fluids such as fats and oils,,I don't know.,
What living species of bird is considered the largest of the raptors?,1.00 / 1,1.00 / 1,peregrine falcon,peregrine falcon
First aid treatment for a chemical burn involves what?,Neutralizing the chemical,,Neutralizing the chemical,
While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,1.00 / 1,1.00 / 1,I don't know.,desiccate
Myofibrils are long cylindrical structures that lie parallel to and run the entire length of what fibers?,I don't know.,,I don't know.,
Although his latest project was relatively _____ - little more than a few basic plot points scribbled on a napkin - the veteran screenwriter easily sold the story to a major Hollywood studio.,1.00 / 1,,polished,
"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",1.00 / 1,1.00 / 1,I don't know.,I don't know.
"If your co-worker needs CPR but you are not trained in it, what should you do?",1.00 / 1,,Lift the patient's head,
What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,1.00 / 1,1.00 / 1,reptiles,reptiles
What type of bonds are formed by the side-to-side overlap of p orbitals?,I don't know.,,I don't know.,
Nerve cells that sense touch are found mainly where?,1.00 / 1,,1.00 / 1,
At what water temperature should you bathe frostbitten skin?,You should never submerge frostbite into water,,You should never submerge frostbite into water,
"Modern tennis fans have come to realize that, although, quantum technological leaps in racquet technology have lead to _____ increases in the speed and power with which players can hit the ball, this has not necessarily lead to a more entertaining game.",tractable,,tractable,
"Because he ate high-calorie snacks while riding the exercise bike, Julie ridiculed DeRay's workout philosophy as _____ .",indolent,,I don't know.,
What is the maximum amount of time perishable food should be left out?,1.5 hours,,I don't know.,
What opens two strands of DNA?,replication,,1.00 / 1,
"Just as different people can have very different personalities, so too can pets - even those of the same species and breed possess varied _____ .",1.00 / 1,,1.00 / 1,
What is the most abundant metal of the earth's crust?,1.00 / 1,1.00 / 1,magnetite,copper
"Although John F. Kennedy was known for his carefree flag football games, Gerald Ford should be _____ as our football president: he turned down offers to play for two National Football League teams in order to pursue a career in public service.",relegated,,annulled,
Most fungi get organic compounds from what?,1.00 / 1,,1.00 / 1,
"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",meritless,meritless,I don't know.,meritless
"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",1.00 / 1,1.00 / 1,1.00 / 1,1.00 / 1
What are by far the most common type of invertebrate?,1.00 / 1,,I don't know.,
Organisms that live deep in the ocean must be able to withstand what?,1.00 / 1,1.00 / 1,1.00 / 1,1.00 / 1
Susan _____ the theater; she bought tickets for all the shows put on by the local drama group.,1.00 / 1,,1.00 / 1,
Many Major League Baseball relief pitchers choose an electrifying theme song to play as they take the mound; the song _____ their fans and instills fear in their opponents.,assuages,,1.00 / 1,
Working on scaffold during winds above ____ miles per hour is prohibited by OSHA.,15,,I don't know.,
What should you NOT do while treating cuts and scrapes?,Apply pressure on the wound with a clean cloth or bandage,Apply pressure on the wound with a clean cloth or bandage,Apply an antibiotic to the wound,Apply an antibiotic to the wound
What are the hormones that cause a plant to grow?,I don't know.,sporozoans,I don't know.,I don't know.
How do very massive stars end their lives?,consumed by black hole,,become super novas,
Where should you aim a fire extinguisher nozzle when putting out a fire?,1.00 / 1,,At the top of the fire,
"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his/her back, (v) check signs of life (coughing, breathing, or movement).",1.00 / 1,1.00 / 1,"i, ii, iii, iv, v","i, ii, iii, iv, v"
What is the minimum distance that should separate a parked forklift from a railroad junction?,I don't know.,,I don't know.,
True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,1.00 / 1,1.00 / 1,1.00 / 1,1.00 / 1
"Despite her mentor's advice that she attempt to sound consistently _____ , the graduate student often resorted to using slang when presenting significant parts of her thesis, her habitual speech patterns overriding her years of learning.",panegyrical,,rational,
What should you NOT do when lowering a load?,Bend your knees,,1.00 / 1,
One of social science's major themes is that of stability versus change; to what extent are individual personalities _____ yet different over time?,1.00 / 1,1.00 / 1,transient,I don't know.
"Having squandered his life's savings on unprofitable business ventures, the _____ entrepreneur was forced to live in squalor.",former,,former,
The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,I don't know.,eye,1.00 / 1,1.00 / 1
Workplaces with a minimum of ____ employees need to have a written fire prevention program in place.,5,,I don't know.,
What is the term for the total kinetic energy of moving particles of matter?,mechanical energy,,I don't know.,
"What arises due to crossing over, independent assortment, and the random union of gametes?",I don't know.,I don't know.,I don't know.,I don't know.
"Repulsed by _____ employees, the executive informed his staff that he preferred constructive criticism to calculated flattery.",1.00 / 1,,natty,
Which fire extinguishers are used to put out fires caused by flammable liquids?,I don't know.,,I don't know.,
What broad group of animals are the first true tetrapods?,,1.00 / 1,,reptiles
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,,1.00 / 1,,1.00 / 1
"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.",,1.00 / 1,,"i, iii, iv, ii"
What should you NOT do while lifting objects?,,Bend at the knees,,1.00 / 1
"Certainly a roundabout narrative, the book - much like the others in the author's pseudo-autobiographical series - proved to be unpopular among those who preferred _____ to loquaciousness.",,1.00 / 1,,I don't know.
Which fire extinguishers are used to put out Class A fires?,,CO2 only,,Both CO2 and water
The new lecture hall's _____ design reflected the architect's minimalist influences.,,1.00 / 1,,1.00 / 1
"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",,1.00 / 1,,I don't know.
"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",,1.00 / 1,,endemic
"Emmet Ray, a fictional jazz guitarist in Woody Allen's film Sweet and Lowdown, is a paradoxical character; while he displays sophisticated musical artistry, his personality is typically _____ .",,1.00 / 1,,elegant
"In 1770s colonial New England, Puritans _____ the celebration of Christmas, which they considered to be an odious reminder of the Pope's tyranny.",,1.00 / 1,,I don't know.
What is the correct method for saving someone from choking?,,Abdominal thrusts only,,1.00 / 1
"True or false: when someone swallows a chemical, immediately have the person drink water and then induce vomiting.",,1.00 / 1,,1.00 / 1
Sensory nerves carry nerve impulses from sensory receptors to what system?,,1.00 / 1,,1.00 / 1
What is the most common symptom of a heart attack?,,1.00 / 1,,1.00 / 1
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",,1.00 / 1,,conditional factors
What should you do if you are unable to evacuate a burning building?,,1.00 / 1,,1.00 / 1
The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,,1.00 / 1,,invaluable
How often should women perform a breast self-exam?,,quarterly,,yearly
"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",,prescience,,I don't know.
Anything moving has what type of energy?,,1.00 / 1,,1.00 / 1
"Many dog owners treat their pets too _____ , forgetting that canines have evolved in competitive environments in which emotional coddling was a sign of weakness.",,1.00 / 1,,I don't know.
"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",,1.00 / 1,,surface
"When using a ladder to climb a roof, the ladder must extend at least___ above it.",,18,,I don't know.
Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,,1.00 / 1,,exasperation
Most insects reproduce quickly and through what type of reproduction?,,asexual reproduction,,asexual reproduction
"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",,1.00 / 1,,oceanic activity
"Everyone is at a risk of contracting a food-borne illness. However, who are at a greater risk of falling ill or even dying of infection?",,1.00 / 1,,1.00 / 1
"Despite the smile that spread from ear to ear, the eyes relayed a certain _____ .",,1.00 / 1,,mischievousness
The lithosphere is divided into a dozen major and several minor what?,,1.00 / 1,,zones
What does CERT stand for?,,I don't know.,,1.00 / 1
"Which organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",,1.00 / 1,,1.00 / 1
Seth was extremely _____ and did not enjoy activities that required effort to meet new people.,,1.00 / 1,,1.00 / 1
"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",,1.00 / 1,,I don't know.
True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,,True,,1.00 / 1
What cells are the basis of nervous tissue?,,1.00 / 1,,I don't know.
What are classified by climatic factors and types of primary producers?,,1.00 / 1,,I don't know.
Insistent Answers,2,,6,
